Name,P-value,corrected pvalue,ASTb-Mean(%),ASTb-Sd(%),ASCK-Mean(%),ASCK-Sd(%),KDTb-Mean(%),KDTb-Sd(%),KDCK-Mean(%),KDCK-Sd(%),XBTb-Mean(%),XBTb-Sd(%),XBCK-Mean(%),XBCK-Sd(%),XYTb-Mean(%),XYTb-Sd(%),XYCK-Mean(%),XYCK-Sd(%)
"5.4.99.20","0.02657","0.04996","0.0123","0.0018","0.0114","0.0016","0.0118","0.0026","0.0124","0.0014","0.01","0.0016","0.0162","0.0007","0.013","0.0027","0.0126","0.0006"
"2.1.1.195","0.1357","0.1672","0.0123","0.0049","0.012","0.0042","0.0094","0.0015","0.0173","0.0021","0.0113","0.0026","0.0116","0.0012","0.0134","0.0018","0.0121","0.0004"
"3.1.1.3","0.02811","0.05155","0.0158","0.0024","0.0111","0.0028","0.0119","0.0018","0.0094","0.0025","0.0149","0.0026","0.0112","0.0009","0.0144","0.0035","0.0106","0.0005"
"2.7.4.23","0.05099","0.07889","0.0116","0.0022","0.012","0.0026","0.0129","0.004","0.0118","0.0009","0.0094","0.0028","0.0159","0.0023","0.011","0.0037","0.0141","0.0006"
"1.1.98.3","0.03016","0.05415","0.0131","0.0007","0.0122","0.0015","0.0131","0.0032","0.0105","0.0025","0.0159","0.0022","0.0099","0.001","0.0131","0.0034","0.0103","0.0003"
"2.3.1.46","0.0305","0.05455","0.0119","0.0009","0.0103","0.0021","0.0112","0.0035","0.0142","0","0.0108","0.0013","0.0145","0.0021","0.0101","0.0042","0.0143","0.0008"
"4.2.1.141","0.03791","0.06459","0.0078","0.0027","0.0112","0.0094","0.0067","0.002","0.0198","0.0046","0.006","0.0013","0.0163","0.0057","0.0111","0.0052","0.0175","0.0006"
"3.4.11.21","0.001782","0.01834","0.014","0.0011","0.0109","0.0011","0.0155","0.0019","0.0085","0.0018","0.0165","0.0024","0.0096","0.0007","0.0127","0.0027","0.0084","0.0004"
"3.1.31.1","0.001319","0.01834","0.0164","0.0028","0.0106","0.0031","0.0161","0.0023","0.0058","0.0008","0.019","0.0032","0.0083","0.0006","0.0121","0.0019","0.0076","0.0002"
"3.2.1.25","0.0008663","0.01834","0.0168","0.0012","0.0085","0.0005","0.0122","0.0009","0.0051","0.0004","0.0179","0.0022","0.0091","0.0006","0.0164","0.0048","0.0098","0.0002"
"4.4.1.19","0.001224","0.01834","0.0145","0.0018","0.0111","0.0008","0.0161","0.0029","0.007","0.0017","0.0171","0.0032","0.0099","0.0007","0.012","0.0016","0.0074","0.0005"
"4.2.1.42","0.004172","0.01921","0.0086","0.0015","0.0095","0.0027","0.0112","0.0037","0.0124","0.0016","0.0071","0.0025","0.0194","0.0009","0.0097","0.0037","0.0166","0.0005"
"2.4.2.45","0.06768","0.09913","0.0124","0.0007","0.012","0.0016","0.0129","0.0032","0.0104","0.0024","0.0147","0.0022","0.0098","0.001","0.0123","0.003","0.0101","0.0003"
"2.6.1.96","0.012","0.02984","0.0098","0.0023","0.0122","0.0023","0.0115","0.003","0.014","0.0009","0.0085","0.003","0.0147","0.0022","0.0094","0.0043","0.014","0.0005"
"1.3.99.4","0.01261","0.03091","0.0141","0.0016","0.0113","0.0029","0.0136","0.0021","0.0091","0.0021","0.0143","0.0019","0.0083","0.001","0.0146","0.0039","0.0085","0.0003"
"5.5.1.1","0.01082","0.02829","0.01","0.0027","0.0104","0.0012","0.0112","0.0026","0.0115","0.0008","0.0087","0.0027","0.0163","0.0018","0.011","0.0038","0.0144","0.0006"
"6.2.1.25","0.02997","0.05389","0.0104","0.0011","0.0097","0.0023","0.0128","0.0013","0.0112","0.0002","0.0114","0.0024","0.0145","0.002","0.0101","0.0022","0.0136","0.0006"
"1.2.1.46","0.002547","0.01834","0.0132","0.0025","0.0095","0.0015","0.0137","0.0016","0.0089","0.0007","0.0148","0.0032","0.0092","0.0005","0.0127","0.0012","0.0102","0.0003"
